Entry,Gene,Organism
Q9NQ94,A1CF,Human
Q9H7C9,AAMDC,Human
Q8IZP0,ABI1,Human
Q9NX38,ABITRAM,Human
P00519,ABL1,Human
Q15018,ABRAXAS2,Human
Q9NPJ3,ACOT13,Human
O43707,ACTN4,Human
Q8TDG2,ACTRT1,Human
Q9NPF8,ADAP2,Human
P55265,ADAR,Human
Q8NDL9,AGBL5,Human
Q9UKV8,AGO2,Human
P35869,AHR,Human
Q9GZX7,AICDA,Human
O95831,AIFM1,Human
Q96NN9,AIFM3,Human
Q13155,AIMP2,Human
Q96IF1,AJUBA,Human
Q9ULX6,AKAP8L,Human
P31749,AKT1,Human
P31751,AKT2,Human
Q96Q83,ALKBH3,Human
O15296,ALOX15B,Human
P09917,ALOX5,Human
Q86V81,ALYREF,Human
Q5JTC6,AMER1,Human
Q86SJ2,AMIGO2,Human
P03950,ANG,Human
Q9GZV1,ANKRD2,Human
Q6NXT1,ANKRD54,Human
Q7Z6G8,ANKS1B,Human
Q9NQW6,ANLN,Human
P39687,ANP32A,Human
Q02410,APBA1,Human
P27695,APEX1,Human
Q9HC16,APOBEC3G,Human
Q6NTF7,APOBEC3H,Human
P05067,APP,Human
Q9UKG1,APPL1,Human
Q8NEU8,APPL2,Human
P10275,AR,Human
Q6ZSZ5,ARHGEF18,Human
Q99856,ARID3A,Human
P36404,ARL2,Human
Q9Y2Y0,ARL2BP,Human
O00327,ARNTL,Human
P49407,ARRB1,Human
Q13510,ASAH1,Human
P15336,ATF2,Human
P18850,ATF6,Human
Q99941,ATF6B,Human
P54259,ATN1,Human
P54253,ATXN1,Human
P0C7T5,ATXN1L,Human
O15265,ATXN7,Human
Q8WXX7,AUTS2,Human
O15169,AXIN1,Human
O95817,BAG3,Human
P46379,BAG6,Human
O75531,BANF1,Human
Q16520,BATF,Human
O95999,BCL10,Human
Q9H165,BCL11A,Human
Q5T5X7,BEND3,Human
Q9HBH7,BEX1,Human
Q00994,BEX3,Human
O14503,BHLHE40,Human
Q13490,BIRC2,Human
Q96CA5,BIRC7,Human
Q9H2G9,BLZF1,Human
Q6PJG6,BRAT1,Human
P55201,BRPF1,Human
Q8TDC3,BRSK1,Human
Q9Y2F9,BTBD3,Human
Q5XKL5,BTBD8,Human
Q06187,BTK,Human
Q13901,C1D,Human
Q96LT7,C9orf72,Human
Q16790,CA9,Human
Q8WUQ7,CACTIN,Human
Q9HB71,CACYBP,Human
P27708,CAD,Human
Q9P1Z2,CALCOCO1,Human
Q13137,CALCOCO2,Human
Q96S95,CAMK2N2,Human
Q96LW7,CARD19,Human
O15234,CASC3,Human
P51636,CAV2,Human
Q75N03,CBLL1,Human
P45973,CBX5,Human
Q9H6E4,CCDC134,Human
Q6PII3,CCDC174,Human
Q8N998,CCDC89,Human
Q13939,CCIN,Human
P20248,CCNA2,Human
P24385,CCND1,Human
P30279,CCND2,Human
P30281,CCND3,Human
P41002,CCNF,Human
Q99459,CDC5L,Human
Q96GN5,CDCA7L,Human
P06493,CDK1,Human
O75956,CDK2AP2,Human
P11802,CDK4,Human
Q00534,CDK6,Human
P50613,CDK7,Human
P50750,CDK9,Human
P46527,CDKN1B,Human
P42772,CDKN2B,Human
P17676,CEBPB,Human
Q8WUJ3,CEMIP,Human
Q6PRD7,CEMP1,Human
Q49MI3,CERKL,Human
P23528,CFL1,Human
P13569,CFTR,Human
Q8N884,CGAS,Human
Q8WUX9,CHMP7,Human
Q99653,CHP1,Human
O43745,CHP2,Human
O15111,CHUK,Human
Q9C0C6,CIPC,Human
Q14011,CIRBP,Human
Q99966,CITED1,Human
O00299,CLIC1,Human
O15516,CLOCK,Human
O94985,CLSTN1,Human
Q9Y471,CMAHP,Human
Q8IY22,CMIP,Human
Q8N3K9,CMYA5,Human
Q8N668,COMMD1,Human
Q8NHY2,COP1,Human
Q8NE35,CPEB3,Human
Q6PUV4,CPLX2,Human
Q96FN4,CPNE2,Human
O75131,CPNE3,Human
Q16630,CPSF6,Human
Q8N684,CPSF7,Human
P29373,CRABP2,Human
O43889,CREB3,Human
Q96BA8,CREB3L1,Human
Q70SY1,CREB3L2,Human
Q68CJ9,CREB3L3,Human
Q8TEY5,CREB3L4,Human
Q92793,CREBBP,Human
Q6UUV9,CRTC1,Human
Q53ET0,CRTC2,Human
Q6UUV7,CRTC3,Human
Q16526,CRY1,Human
P02489,CRYAA,Human
A0A140G945,CRYAA2,Human
P02511,CRYAB,Human
Q9Y534,CSDC2,Human
P55060,CSE1L,Human
P35222,CTNNB1,Human
O60716,CTNND1,Human
Q13618,CUL3,Human
Q9NTM9,CUTC,Human
Q9H5V9,CXorf56,Human
Q96F07,CYFIP2,Human
Q9NYF0,DACT1,Human
Q14118,DAG1,Human
O43293,DAPK3,Human
Q9UER7,DAXX,Human
P61962,DCAF7,Human
Q5TAQ9,DCAF8,Human
Q8TF63,DCANP1,Human
Q96C86,DCPS,Human
Q16531,DDB1,Human
Q8IXT1,DDIAS,Human
Q92499,DDX1,Human
Q9UHL0,DDX25,Human
O00571,DDX3X,Human
O15523,DDX3Y,Human
P17844,DDX5,Human
Q5T1V6,DDX59,Human
O75398,DEAF1,Human
O75618,DEDD,Human
Q5TB30,DEPDC1,Human
P17661,DES,Human
Q6ICB0,DESI1,Human
P52824,DGKQ,Human
Q13268,DHRS2,Human
Q9H2U1,DHX36,Human
Q08211,DHX9,Human
Q9NSV4,DIAPH3,Human
Q9BTC0,DIDO1,Human
P09622,DLD,Human
P36957,DLST,Human
Q13316,DMP1,Human
Q09019,DMWD,Human
P51530,DNA2,Human
P25685,DNAJB1,Human
Q8TBM8,DNAJB14,Human
Q13609,DNASE1L3,Human
Q6W0C5,DPPA3,Human
Q9NZJ0,DTL,Human
Q96EV8,DTNBP1,Human
Q8TDB6,DTX3L,Human
Q92630,DYRK2,Human
O43781,DYRK3,Human
Q9H8V3,ECT2,Human
P68104,EEF1A1,Human
O43324,EEF1E1,Human
P98172,EFNB1,Human
P00533,EGFR,Human
Q9GZT9,EGLN1,Human
Q9Y6B2,EID1,Human
Q8N140,EID3,Human
Q9NRA8,EIF4ENIF1,Human
Q15717,ELAVL1,Human
P78545,ELF3,Human
P50402,EMD,Human
P54851,EMP2,Human
Q09472,EP300,Human
Q99814,EPAS1,Human
O95278,EPM2A,Human
Q9Y6I3,EPN1,Human
Q9H201,EPN3,Human
P04626,ERBB2,Human
Q15303,ERBB4,Human
Q96RQ1,ERGIC2,Human
Q9UJM3,ERRFI1,Human
Q8N693,ESX1,Human
P14921,ETS1,Human
Q9NVH0,EXD2,Human
O00167,EYA2,Human
Q99504,EYA3,Human
P23610,F8A1; F8A2; F8A3,Human
P15090,FABP4,Human
Q01469,FABP5,Human
P51161,FABP6,Human
O95990,FAM107A,Human
Q96PZ2,FAM111A,Human
Q5TYM5,FAM72A,Human
A6ND36,FAM83G,Human
Q9BXW9,FANCD2,Human
P48023,FASLG,Human
O00757,FBP2,Human
Q9UF56,FBXL17,Human
Q8TCJ0,FBXO25,Human
Q969P5,FBXO32,Human
Q6PIJ6,FBXO38,Human
Q9UKT4,FBXO5,Human
Q9Y3I1,FBXO7,Human
Q9UK73,FEM1B,Human
P11362,FGFR1,Human
P07954,FH,Human
Q02790,FKBP4,Human
Q9NZ56,FMN2,Human
Q06787,FMR1,Human
P01100,FOS,Human
Q9Y261,FOXA2,Human
Q12948,FOXC1,Human
P85037,FOXK1,Human
Q12778,FOXO1,Human
O43524,FOXO3,Human
P98177,FOXO4,Human
Q9BZS1,FOXP3,Human
P42685,FRK,Human
Q9C0B1,FTO,Human
P35637,FUS,Human
Q7L622,G2E3,Human
Q8TAE8,GADD45GIP1,Human
Q9H0R5,GBP3,Human
Q96PP9,GBP4,Human
O75600,GCAT,Human
P35557,GCK,Human
Q9NWU2,GID8,Human
Q53GS7,GLE1,Human
P08151,GLI1,Human
P10070,GLI2,Human
P10071,GLI3,Human
O75496,GMNN,Human
Q9BVP2,GNL3,Human
Q99527,GPER1,Human
Q13227,GPS2,Human
P10412,H1-4,Human
P54257,HAP1,Human
Q96MB7,HARBI1,Human
O00165,HAX1,Human
Q9NWW0,HCFC1R1,Human
O15379,HDAC3,Human
P56524,HDAC4,Human
Q9UQL6,HDAC5,Human
Q8WUI4,HDAC7,Human
Q16665,HIF1A,Human
Q9Y2N7,HIF3A,Human
Q9NQE9,HINT3,Human
O00291,HIP1,Human
Q86Z02,HIPK1,Human
P54198,HIRA,Human
P09429,HMGB1,Human
P05114,HMGN1,Human
P09651,HNRNPA1,Human
O14979,HNRNPDL,Human
Q00839,HNRNPU,Human
Q9UJC3,HOOK1,Human
Q00613,HSF1,Human
Q03933,HSF2,Human
O95757,HSPA4L,Human
P04792,HSPB1,Human
P42858,HTT,Human
O60921,HUS1,Human
Q7Z6Z7,HUWE1,Human
Q9BTL4,IER2,Human
Q5VY09,IER5,Human
Q16666,IFI16,Human
P40305,IFI27,Human
Q9BYX4,IFIH1,Human
Q9NZI8,IGF2BP1,Human
Q9Y6K9,IKBKG,Human
Q13422,IKZF1,Human
P40933,IL15,Human
Q9NZH6,IL37,Human
Q12906,ILF3,Human
Q3KP66,INAVA,Human
Q96PE3,INPP4A,Human
Q9BT40,INPP5K,Human
P51617,IRAK1,Human
P10914,IRF1,Human
Q13568,IRF5,Human
O14896,IRF6,Human
Q92985,IRF7,Human
Q02556,IRF8,Human
Q00978,IRF9,Human
Q96AB3,ISOC2,Human
O14713,ITGB1BP1,Human
Q96DU7,ITPKC,Human
Q15811,ITSN1,Human
Q6NYC1,JMJD6,Human
Q8N9B5,JMY,Human
Q9BR39,JPH2,Human
Q14678,KANK1,Human
Q92830,KAT2A,Human
Q92831,KAT2B,Human
Q9H079,KATNBL1,Human
Q9Y2W7,KCNIP3,Human
Q9NXV2,KCTD5,Human
P35968,KDR,Human
Q07666,KHDRBS1,Human
Q96Q89,KIF20B,Human
Q9BW19,KIFC1,Human
Q53GT1,KLHL22,Human
Q92876,KLK6,Human
Q8IZD2,KMT2E,Human
P50748,KNTC1,Human
Q9UN81,L1RE1,Human
Q9BRS8,LARP6,Human
Q9NRM7,LATS2,Human
Q9UGP4,LIMD1,Human
Q9BT23,LIMD2,Human
P53671,LIMK2,Human
Q9H9Z2,LIN28A,Human
Q99732,LITAF,Human
Q9NZU5,LMCD1,Human
Q93052,LPP,Human
O60711,LPXN,Human
Q07954,LRP1,Human
Q8IZ02,LRRC34,Human
P07948,LYN,Human
Q9Y586,MAB21L2,Human
Q8N5G2,MACO1,Human
Q9Y6D9,MAD1L1,Human
Q5TCQ9,MAGI3,Human
P61326,MAGOH,Human
Q3KP22,MAJIN,Human
Q9UDY8,MALT1,Human
Q66K74,MAP1S,Human
Q9Y2U5,MAP3K2,Human
Q9NYL2,MAP3K20,Human
Q8TD08,MAPK15,Human
Q13164,MAPK7,Human
P45983,MAPK8,Human
Q9UQF2,MAPK8IP1,Human
P45984,MAPK9,Human
P49137,MAPKAPK2,Human
Q16644,MAPKAPK3,Human
Q9BSK0,MARVELD1,Human
Q5VZF2,MBNL2,Human
Q9NUK0,MBNL3,Human
P02686,MBP,Human
Q7L590,MCM10,Human
O60318,MCM3AP,Human
Q9P1T7,MDFIC,Human
P50221,MEOX1,Human
A1L020,MEX3A,Human
Q6ZN04,MEX3B,Human
Q5U5Q3,MEX3C,Human
Q86XN8,MEX3D,Human
O75121,MFAP3L,Human
O60291,MGRN1,Human
Q7RTP6,MICAL3,Human
Q504T8,MIDN,Human
P58340,MLF1,Human
Q9UH92,MLX,Human
Q9HAP2,MLXIP,Human
P41218,MNDA,Human
Q9Y6X9,MORC2,Human
Q502X0,MORN2,Human
Q9HCE1,MOV10,Human
Q8TAP9,MPLKIP,Human
Q969V6,MRTFA,Human
Q86UE4,MTDH,Human
Q14872,MTF1,Human
Q8NCE2,MTMR14,Human
P42345,MTOR,Human
Q9ULD2,MTUS1,Human
Q14764,MVP,Human
Q9BRK3,MXRA8,Human
Q9BQG0,MYBBP1A,Human
Q99417,MYCBP,Human
O75592,MYCBP2,Human
O00159,MYO1C,Human
Q9NP98,MYOZ1,Human
Q9Y2G1,MYRF,Human
Q8WU39,MZB1,Human
Q15742,NAB2,Human
Q13765,NACA,Human
Q96HR8,NAF1,Human
P43490,NAMPT,Human
Q99733,NAP1L4,Human
P16333,NCK1,Human
Q9Y6Q9,NCOA3,Human
Q99608,NDN,Human
Q92597,NDRG1,Human
Q9P0J0,NDUFA13,Human
Q14511,NEDD9,Human
Q9HC98,NEK6,Human
Q8TDX7,NEK7,Human
Q13562,NEUROD1,Human
P35240,NF2,Human
Q8NCF5,NFATC2IP,Human
Q14934,NFATC4,Human
Q14494,NFE2L1,Human
Q16236,NFE2L2,Human
P25963,NFKBIA,Human
Q9UBC1,NFKBIL1,Human
Q6VVB1,NHLRC1,Human
Q9GZT8,NIF3L1,Human
Q96P20,NLRP3,Human
Q9Y314,NOSIP,Human
P46531,NOTCH1,Human
Q04721,NOTCH2,Human
Q9UM47,NOTCH3,Human
Q99466,NOTCH4,Human
Q9NPH5,NOX4,Human
P06748,NPM1,Human
Q86SE8,NPM2,Human
P51843,NR0B1,Human
Q15466,NR0B2,Human
P20393,NR1D1,Human
P04150,NR3C1,Human
Q6X4W1,NSMF,Human
Q9Y5Y2,NUBP2,Human
Q9Y266,NUDC,Human
O43809,NUDT21,Human
Q9UHK0,NUFIP1,Human
Q7Z417,NUFIP2,Human
Q14980,NUMA1,Human
Q9UKX7,NUP50,Human
Q86Y26,NUTM1,Human
Q9GZY0,NXF2; NXF2B,Human
Q9H4D5,NXF3,Human
Q9UKK6,NXT1,Human
Q9NPJ8,NXT2,Human
Q9NZT2,OGFR,Human
O15294,OGT,Human
Q6UX06,OLFM4,Human
Q13516,OLIG2,Human
Q6GQQ9,OTUD7B,Human
Q9UQ80,PA2G4,Human
P11940,PABPC1,Human
Q86U42,PABPN1,Human
Q8N7H5,PAF1,Human
Q9P286,PAK5,Human
Q9NQU5,PAK6,Human
Q504Q3,PAN2,Human
Q99497,PARK7,Human
Q9H300,PARL,Human
Q9UKK3,PARP4,Human
Q8IXQ6,PARP9,Human
Q8IV76,PASD1,Human
Q96RG2,PASK,Human
Q86TB9,PATL1,Human
Q9BUH6,PAXX,Human
Q96AQ6,PBXIP1,Human
Q15365,PCBP1,Human
Q15366,PCBP2,Human
Q53EL6,PDCD4,Human
O75340,PDCD6,Human
Q9NRA1,PDGFC,Human
O15530,PDPK1,Human
O15534,PER1,Human
O15055,PER2,Human
P56645,PER3,Human
Q96HS1,PGAM5,Human
Q9H814,PHAX,Human
Q9BUL5,PHF23,Human
Q6ZVD8,PHLPP2,Human
Q9Y6X2,PIAS3,Human
Q13492,PICALM,Human
Q9HB75,PIDD1,Human
Q8WYR1,PIK3R5,Human
P48426,PIP4K2A,Human
Q86YW0,PLCZ1,Human
Q96BZ4,PLD4,Human
Q53GL0,PLEKHO1,Human
Q9H4B4,PLK3,Human
Q8TBY8,PMFBP1,Human
P29590,PML,Human
P06746,POLB,Human
Q9UBT6,POLK,Human
O15318,POLR3G,Human
Q15319,POU4F3,Human
Q01860,POU5F1,Human
P37231,PPARG,Human
Q13136,PPFIA1,Human
Q8WY54,PPM1E,Human
P62136,PPP1CA,Human
P62140,PPP1CB,Human
P36873,PPP1CC,Human
Q5MIZ7,PPP4R3B,Human
O43663,PRC1,Human
P17612,PRKACA,Human
P41743,PRKCI,Human
P55345,PRMT2,Human
Q9BXM0,PRX,Human
P11801,PSKH1,Human
O43586,PSTPIP1,Human
Q13882,PTK6,Human
Q86YD1,PTOV1,Human
Q15678,PTPN14,Human
P17706,PTPN2,Human
P29350,PTPN6,Human
P23469,PTPRE,Human
P53801,PTTG1IP,Human
Q3MIT2,PUS10,Human
Q9ULZ3,PYCARD,Human
Q9BRP8,PYM1,Human
Q9H0J4,QRICH2,Human
Q96QF0,RAB3IP,Human
Q9H0H5,RACGAP1,Human
Q9NS91,RAD18,Human
P04049,RAF1,Human
Q6GYQ0,RALGAPA1,Human
